,county,Latitude,Longitude,death_count
296,Bath Springs,35.4523372,-88.05922340000001,1
297,Baton Rouge,30.492958698305078,-91.14368028474578,59
298,Battle Creek,42.337098399999995,-85.19265033846153,13
299,Battle Ground,43.1667401,-104.676312,2
300,Battle Mountain,40.581401899999996,-116.84936880000001,1
301,Battleboro,36.0062113,-77.6966294,1
302,Battlefield,37.1155578,-93.3643118,1
303,Baxley,31.667700800000002,-82.2613485,1
304,Baxter,36.518427,-84.46417654999999,2
305,Bay,35.742802850000004,-90.56392145000001,2
306,Bay City,42.26603211818182,-85.00086094545455,11
307,Bay Minette,30.861803100000003,-87.89059209999999,1
308,Bay Point,38.02808394,-121.95193822000002,5
309,Bay Shore,40.7349387,-73.2663459,2
310,Bay St. Louis,30.299581266666667,-89.3791217,3
311,Bay Village,41.4891647,-81.9223547,1
312,Bayard,37.253954300000004,-105.73132655,2
313,Bayonne,40.665054950000005,-74.1255069,2
314,Baytown,29.765869315384613,-94.9438691230769,13
315,Beach Park,42.438932799999996,-87.8761301,1
316,Beachwood,40.976202699999995,-79.0728532,3
317,Beacon,41.518860499999995,-73.9946365,1
318,Beacon Hill,47.5765606,-122.29868,1
319,Beale AFB,39.118603799999995,-121.3864068,1
320,Bealeton,38.613794899999995,-77.79915679999999,1
321,Bear,39.58469325,-75.71924390000001,2
322,Bear Creek Township,41.2174374,-75.674189,1
323,Bear Valley Springs,35.1595423,-118.65487809999999,1
324,Beardstown,40.0108665,-90.43571800000001,1
325,Beatty,42.481694700000006,-121.24355030000001,1
326,Beauford,44.006919,-93.959029,1
