,date,city,black,white,latino
1106,2007,"Santa Maria, CA",14.309204064957756,1.1061579814829154,1.464522135890869
1891,2011,"Santa Maria, CA",13.913158955988628,1.1061579814829154,1.2262265330897228
2118,2012,"Santa Maria, CA",13.517113847019502,1.1061579814829154,4.904906132358891
2371,2013,"Santa Maria, CA",13.121068738050374,1.1061579814829154,1.2262265330897228
2615,2014,"Santa Maria, CA",12.725023629081246,1.1061579814829154,1.2262265330897228
2879,2015,"Santa Maria, CA",12.328978520112118,1.1061579814829154,1.2262265330897228
3128,2016,"Santa Maria, CA",11.93293341114299,1.1061579814829154,1.2262265330897228
3387,2017,"Santa Maria, CA",11.536888302173864,1.1061579814829154,1.2262265330897228
3633,2018,"Santa Maria, CA",11.140843193204736,1.2636595350461546,1.2262265330897228
558,2004,"Santa Monica, CA",10.744798084235608,1.4211610886093937,3.043713790598741
919,2006,"Santa Monica, CA",10.34875297526648,1.4211610886093937,4.861201048107759
1673,2010,"Santa Monica, CA",10.34875297526648,1.2813269475051343,6.678688305616777
1892,2011,"Santa Monica, CA",10.34875297526648,1.1414928064008751,6.678688305616777
2616,2014,"Santa Monica, CA",10.34875297526648,1.001658665296616,6.678688305616777
3388,2017,"Santa Monica, CA",11.073469335641436,0.8618245241923566,6.678688305616777
78,2000,"Santa Rosa, CA",11.798185696016391,0.7219903830880973,5.0632055693252775
405,2003,"Santa Rosa, CA",12.522902056391349,1.4439807661761945,3.4477228330337772
722,2005,"Santa Rosa, CA",13.247618416766304,1.082985574632146,1.8322400967422772
1107,2007,"Santa Rosa, CA",13.97233477714126,0.7219903830880973,1.8322400967422772
1292,2008,"Santa Rosa, CA",12.52953380258538,0.7219903830880973,1.8322400967422772
1674,2010,"Santa Rosa, CA",11.086732828029502,0.7219903830880973,1.8322400967422772
2372,2013,"Santa Rosa, CA",9.643931853473624,0.9242728403585,1.8322400967422772
2880,2015,"Santa Rosa, CA",8.201130878917745,1.1265552976289026,1.8322400967422772
3129,2016,"Santa Rosa, CA",6.758329904361866,1.3288377548993053,1.8322400967422772
3389,2017,"Santa Rosa, CA",5.315528929805987,1.531120212169708,1.8322400967422772
723,2005,"Savannah, GA",3.8727279552501095,1.7334026694401108,2.9826041899707514
1108,2007,"Savannah, GA",2.42992698069423,1.7334026694401108,4.132968283199225
1675,2010,"Savannah, GA",1.214963490347115,1.7334026694401108,5.283332376427699
2373,2013,"Savannah, GA",1.214963490347115,1.7334026694401108,6.433696469656173
2617,2014,"Savannah, GA",1.214963490347115,1.7334026694401108,7.5840605628846465
2881,2015,"Savannah, GA",4.85985396138846,1.7334026694401108,8.734424656113122
