,county,Latitude,Longitude,death_count
276,Clarion,41.21374375,-79.36483985000001,2
277,Clark,37.33483440030306,-112.90416297151518,330
278,Clarke,33.79306876800001,-85.319760332,25
279,Clatsop,46.071944725,-123.90610832499999,4
280,Clay,37.09944591290323,-90.51038583548386,62
281,Clayton,33.555194794444446,-84.36240373333334,36
282,Clear Creek,39.675641299999995,-105.60552709999999,1
283,Clearwater,46.4408044,-116.1315649,2
284,Cleburne,33.95972764,-86.82416332,5
285,Clermont,39.1281703,-84.1829047,7
286,Cleveland,35.25826839705881,-95.55832757647059,34
287,Clinch,31.0907033,-82.8972145,1
288,Clinton,41.59732649375,-85.98021756249999,16
289,Cloud,39.5708354,-97.66253959999999,1
290,Coahoma,34.2126245375,-90.57138913749999,8
291,Coal,34.5347267,-96.3590484,2
292,Cobb,33.8968550804878,-84.56295054390245,82
293,Cochise,31.548243959999997,-110.06750849000002,20
294,Cochran,33.7252708,-102.75937449999999,1
295,Cocke,35.91166696,-83.21170253999999,5
296,Coconino,35.55574007391305,-111.491957,23
297,Coffee,33.099427309999996,-84.46633781,10
298,Colbert,34.743646025,-87.67214085833332,12
299,Cole,38.54877785454545,-92.21023651818183,11
300,Coleman,31.8365807,-99.42620285000001,2
301,Colfax,38.121272371428574,-102.45668362857143,7
302,Colleton,32.13265027777778,-80.52483994444445,9
303,Collier,26.202029988235292,-81.58821718823529,17
304,Collin,33.10087017272727,-96.66180013636367,22
305,Colonial Heights City,37.27913275,-77.3922976,2
306,Colorado,29.694728899999998,-96.5829256,1
307,Colquitt,31.17007832,-83.78128648,5
308,Columbia,37.57697565227273,-90.02837121136365,44
309,Comal,29.742203224999997,-98.13713505000001,8
310,Comanche,34.615103684999994,-98.43937240000001,20
311,Concho,31.228928366666665,-99.86642216666667,3
312,Concordia,31.61302055,-91.51787445,2
313,Conecuh,31.3621388,-87.06487175,2
314,Contra Costa,37.95896864250001,-122.03523310000004,120
315,Contra Costa ,38.019836,-121.941996,1
316,Converse,42.78035526666667,-105.54126573333333,3
317,Conway,35.20958675,-92.702625825,4
318,Cook,41.78068683797054,-87.67495470818322,611
319,Cooke,33.5501508,-97.19544244999999,4
320,Cooper,38.93609910000001,-92.8463049,1
321,Coos,43.5352221,-113.75483966000002,5
322,Copiah,31.973007,-90.37915799999999,1
323,Cortland,42.6001996,-76.1779522,1
324,Coryell,31.221720966666666,-97.84605160000001,3
325,Coshocton,40.3237072,-81.95834835,2
326,Cotton,34.2688974,-98.2439613,1
327,Cottonwood,43.8638357,-95.1167135,1
328,Covington,31.431597374999996,-88.05009997500001,8
329,Coweta,33.381093657142856,-84.74116167142857,7
330,Cowley,37.12988046666667,-96.94380823333331,3
331,Cowlitz,46.1297521,-122.90557121176471,17
332,Craig,36.730671959999995,-95.13462166000001,5
333,Craighead,35.81592978571429,-90.67620552142856,14
334,Craven,35.10134142,-77.11100964,5
335,Crawford,38.400271423333336,-89.16194584000002,30
336,Creek,35.98507863076923,-96.2260448153846,13
337,Crenshaw,31.685461633333336,-86.19947826666667,3
338,Crisp,31.958401,-83.7608519,2
339,Crittenden,35.29370905625,-91.12166440624998,16
340,Crockett,35.845389175,-89.184989925,4
341,Cross,35.22580429999999,-90.78637370000001,1
342,Crow Wing,46.31100833333333,-94.2062742,3
343,Culberson,31.0433317,-104.8270387,1
344,Cullman,34.19471335,-86.86018776666667,6
345,Culpeper,38.47754915,-78.02463525,6
346,Cumberland,37.91113205050506,-77.28995281313131,99
