,county,date,party,Latitude,Longitude,death_count,death_hthou,population
181,"Alexandria, VA",2006,blue,38.786018,-77.1135831,2,1.2497266223013717,160035.0
182,"Alexandria, VA",2007,blue,38.7773239,-77.0792457,1,0.6248633111506858,160035.0
183,"Alexandria, VA",2008,blue,38.748799,-77.0831182,1,0.6248633111506858,160035.0
184,"Alexandria, VA",2009,blue,38.790939,-77.060548,1,0.6248633111506858,160035.0
185,"Alexandria, VA",2012,blue,38.7286375,-77.1124245,1,0.6248633111506858,160035.0
186,"Alexandria, VA",2013,blue,38.8222842,-77.07299805,2,1.2497266223013717,160035.0
187,"Alexandria, VA",2016,blue,38.741318400000004,-77.16450340000002,1,0.6248633111506858,160035.0
188,"Alexandria, VA",2017,blue,38.8217532,-77.05391429999997,1,0.6248633111506858,160035.0
189,"Alexandria, VA",2018,blue,38.7773438,-77.10583940000002,1,0.6248633111506858,160035.0
190,"Alexandria, VA",2020,blue,38.8135883,-77.04060729999998,1,0.6248633111506858,160035.0
191,"Algonquin, IL",2006,red,42.166495899999994,-88.2882824,1,3.2240384305380916,31017.0
192,"Alhambra, CA",2001,blue,34.068866799999995,-118.1514407,1,1.17101503583306,85396.0
193,"Alhambra, CA",2004,blue,34.0785427,-118.1598051,1,1.17101503583306,85396.0
194,"Alhambra, CA",2011,blue,34.0951527,-118.1268125,1,1.17101503583306,85396.0
195,"Alhambra, CA",2013,blue,34.092222,-118.1262045,1,1.17101503583306,85396.0
196,"Alhambra, CA",2017,blue,34.0953352,-118.1555777,1,1.17101503583306,85396.0
197,"Alice, TX",2008,blue,27.7566739,-98.0319442,1,4.806998990530212,20803.0
198,"Allen Park, MI",2009,blue,42.2640742,-83.20363950000002,1,3.6824274561791133,27156.0
199,"Allen Park, MI",2010,blue,42.2689282,-83.2209162,1,3.6824274561791133,27156.0
200,"Allen, OK",2020,red,34.8747206,-96.4184723,1,107.52688172043011,930.0
201,"Allen, TX",2005,red,33.1189304,-96.6303132,1,0.9931966032676169,100685.0
202,"Allen, TX",2016,red,33.0980499,-96.6241211,1,0.9931966032676169,100685.0
203,"Allen, TX",2017,red,33.0914722,-96.6637069,1,0.9931966032676169,100685.0
204,"Allendale, SC",2006,blue,33.0046299,-81.3160569,1,34.78260869565218,2875.0
205,"Allenton, WI",2003,red,43.425498100000006,-88.3373682,1,101.83299389002036,982.0
206,"Allentown, PA",2001,blue,40.5997755,-75.468467,2,0.2928690772720417,682899.0
207,"Allentown, PA",2003,blue,40.6110459,-75.4417889,1,0.14643453863602085,682899.0
208,"Allentown, PA",2004,blue,40.59650189999999,-75.51320404999998,2,0.2928690772720417,682899.0
209,"Allentown, PA",2005,blue,40.595422799999994,-75.4649334,1,0.14643453863602085,682899.0
210,"Allentown, PA",2006,blue,40.5962203,-75.4837462,1,0.14643453863602085,682899.0
211,"Allentown, PA",2007,blue,40.6012875,-75.49430179999997,1,0.14643453863602085,682899.0
212,"Allentown, PA",2009,blue,40.600305600000006,-75.4729066,1,0.14643453863602085,682899.0
213,"Allentown, PA",2013,blue,40.6037849,-75.4804848,1,0.14643453863602085,682899.0
214,"Allentown, PA",2015,blue,40.6261085,-75.4328814,1,0.14643453863602085,682899.0
215,"Allentown, PA",2017,blue,40.605601750000005,-75.48090664999998,2,0.2928690772720417,682899.0
