,city,%_change,party,year,value
360,"Pensacola, FL",100.0,red,2008,
361,"Corpus Christi, TX",400.0,red,2008,
362,"Huntsville, AL",300.0,red,2008,0.3228764416433119
363,"Springfield, MO",100.0,red,2008,0.34816274519361334
364,"St. Petersburg, FL",149.99999999999994,red,2008,1.5194393268883783
365,"Lubbock, TX",199.99999999999997,red,2008,0.7618902497095293
366,"Chandler, AZ",0.0,red,2008,
367,"Killeen, TX",200.00000000000006,red,2008,
368,United States,102.08603018013629,,2008,0.37060912941626734
369,"Los Angeles, CA",-43.75,blue,2009,0.13265212565277526
370,"Chicago, IL",42.85714285714286,blue,2009,0.27662574680307084
371,"Miami, FL",75.0,blue,2009,0.15669152734439515
372,"Dallas, TX",1100.0,blue,2009,0.19186295264176972
373,"Philadelphia, PA",-27.27272727272727,blue,2009,0.3192687185475969
374,"Houston, TX",342.8571428571429,blue,2009,0.4957341161281036
375,"Atlanta, GA",200.00000000000006,blue,2009,0.01912502988285919
376,"Phoenix, AZ",280.0,red,2009,0.17149091012430887
377,"Seattle, WA",50.00000000000002,blue,2009,0.1097765635270112
378,"San Francisco, CA",33.333333333333336,blue,2009,0.027748788002312032
379,"Detroit, MI",-10.000000000000012,blue,2009,0.2555216815825082
380,"San Diego, CA",9.090909090909092,blue,2009,0.2491968075396986
381,"Minneapolis, MN",-16.666666666666675,blue,2009,0.034167510319442304
382,"Tampa, FL",-12.500000000000005,blue,2009,0.0356602858528514
383,"Denver, CO",166.66666666666666,blue,2009,0.10763235371148645
384,"Brooklyn, NY",-77.77777777777777,blue,2009,0.22821063841926098
385,"Queens, NY",33.33333333333334,blue,2009,0.08572454816733775
386,"Baltimore, MD",-19.999999999999993,blue,2009,0.5528669838894561
387,"Riverside, CA",0.0,blue,2009,0.09593481037765218
388,"Las Vegas, NV",750.0000000000002,blue,2009,0.43414397661411114
389,"Portland, OR",-75.00000000000001,blue,2009,
390,"Kansas City, MO",85.71428571428572,red,2009,0.4332699315000238
391,"Virginia Beach, VA",300.0,red,2009,0.06755008670053628
392,"Jacksonville, FL",400.0,red,2009,0.8648341983116707
393,"Oklahoma City, OK",37.50000000000001,red,2009,0.3138081878832382
